Nom;Keywords;Budget;Feel;Style;Type de vidéo
Café détente – Les Slims de Bellucci;Produit · Café;1000 – 3000$;Informatif;Trépied · Épaule · B-roll;Capsule
CALQ – Gala 2024;Communautaire;1000 – 3000$;Passion · Nostalgique;Trépied · Stabilisateur;Événement
CCIVS – Pub des fêtes – 1;Noël · Commerce · Gym · Vêtements · Hiver · Produit;3000 – 5000$;Dynamique · Énergétique · Enjoué · Festif;Épaule;Publicité
CCIVS – Pub des fêtes – 2;Noël · Animation 2D et 3D · Café · Commerce · Produit · Hiver;3000 – 5000$;Dynamique · Énergétique · Enjoué · Festif;Épaule · Stock Footage;Publicité
CCIVS – Pub des fêtes – 3;Voiture · Commerce · Noël · Produit · Bijoux · Hiver;3000 – 5000$;Dynamique · Énergétique · Enjoué · Festif;Épaule · Stock Footage;Publicité
CCIVS – Pub des fêtes – 4;Voiture · Commerce · Produit · Hiver · Noël;3000 – 5000$;Dynamique · Énergétique · Enjoué · Festif;Épaule · Stock Footage;Publicité
CCIVS – Pub des fêtes – 5;Nourriture · Commerce · Noël · Café · Produit;3000 – 5000$;Dynamique · Énergétique · Enjoué · Festif;Épaule · Stock Footage · Vidéo portrait;Publicité
CCIVS – Pub des fêtes – 6;Acteur · Nourriture · Noël · Commerce · Produit · Café · Hiver · Art;3000 – 5000$;Dynamique · Énergétique · Enjoué · Festif;Épaule · Stock Footage;Publicité
CCIVS – Pub des fêtes – 7;Commerce · Noël · Vêtements · Hiver · Produit · Gym;3000 – 5000$;Dynamique · Énergétique · Festif · Enjoué;Épaule · Stock Footage;Publicité
CCIVS – Pub des fêtes – 8;Voiture · Acteur · Commerce · Noël · Produit · Café · Hiver · Bijoux · Art;3000 – 5000$;Énergétique · Enjoué · Festif · Dynamique;Épaule · Stock Footage;Publicité
CCQ – Audrey Murray;Présentation · Message visuel · Bureau;1000 – 3000$;Sérieux · Rassurant · Informatif;Trépied;Capsule
CDC - Alexandre;Communautaire · Santé · Employés;1000 – 3000$;Informatif · Passion · Rassurant;Entrevue · Trépied;Capsule
CDC - Ivelina;Communautaire · Santé · Employés;1000 – 3000$;Informatif · Passion · Rassurant;Entrevue · Trépied;Capsule
Cégep de Valleyfield – Art et lettre – Étudiant;École;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Drone · Vidéo portrait;Corpo
Cégep de Valleyfield – Art et lettre – Prof;École;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Drone · Vidéo portrait;Corpo
Cégep de Valleyfield – Art visuel – Étudiant;École · Art;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – Art visuel – Prof;Art · École;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – Centre d’étude Vaudreuil;Bureau · École · Ado;1000 – 3000$;Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Capsule
Cégep de Valleyfield – Centre d’étude;École;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – Cérémonie 2024;École;1000 – 3000$;Dynamique · Enjoué · Festif;Épaule · Photo Flash;Événement
Cégep de Valleyfield – Éclipse;École;1000 – 3000$;Sérieux · Nostalgique;Épaule · Stabilisateur · Drone · Stock Footage;Événement
Cégep de Valleyfield – Génie électrique – Prof;École · Technologie;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – Génie électrique;École · Technologie;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – Gestion;École;1000 – 3000$;Informatif · Dynamique · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Capsule
Cégep de Valleyfield – Inhalo – Prof;École · Santé;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – Inhalo;École · Santé;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – Mur végétal;École · Nature · Technologie;1000 – 3000$;Dynamique · Passion · Informatif;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – Party de Noël 2024;Noël · Bière et vin · Musique · École · Événement · Danse · Enfant;1000 – 3000$;Dynamique · Énergétique · Festif;B-roll · Épaule;Événement
Cégep de Valleyfield – Portes ouvertes;École;1000 – 3000$;Dynamique · Énergétique · Enjoué;Épaule · Stabilisateur;Événement
Cégep de Valleyfield – Pub – Campagne Plan;École · Acteur · Sports;3000 – 5000$;Humour · Dynamique;Slider · Drone · Ralenti;Publicité
Cégep de Valleyfield – Résidences;École;1000 – 3000$;Dynamique · Informatif · Énergétique · Passion · Enjoué;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – SAIDE;École · Santé;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – Science humaine – Étudiant;École · Sports;1000 – 3000$;Dynamique · Informatif · Énergétique · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Cégep de Valleyfield – Science humaine – Prof;École;1000 – 3000$;Dynamique · Informatif;Entrevue · B-roll;Corpo
Cégep de Valleyfield – Science nature – Étudiant;École · Science · Événement;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Drone;Corpo
Cégep de Valleyfield – Science nature – Prof;École · Science;1000 – 3000$;Dynamique · Informatif;Entrevue · B-roll;Corpo
Cégep de Valleyfield – TEE – Kellianne;École · Enfance;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll;Corpo
Cégep de Valleyfield – TEE – Sydney;École;1000 – 3000$;Informatif;Entrevue · B-roll;Corpo
Cégep de Valleyfield – Chimie;École · Technologie · Science · Employés;1000 – 3000$;Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Capsule
Cégep de Valleyfield – Éducation spécialisée;Communautaire · École · Santé;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Capsule
Cégep de Valleyfield – Physio;École · Santé · Science · Employés;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait · Drone;Capsule
Cégep de Valleyfield – Informatique;École · Technologie;1000 – 3000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Vidéo portrait;Capsule
Cégep Valleyfield – Fête de la rentrée;Événement · Ado · Danse · École;1000 – 3000$;Dynamique · Énergétique · Festif;Stabilisateur · B-roll;Événement
Chambre des commerces Valleyfield – Grand Gala 2024;Conférencier;1000 – 3000$;Dynamique · Énergétique · Festif;B-roll · Épaule;Événement
Championnat Canadien de Montgolfières 2022 – Beauty shots;Montgolfière · Nature · Événement;3000 – 5000$;Grandiose · Majestueux · Dynamique;B-roll · Drone · Stabilisateur;Beauty Shots
Championnat Canadien de Montgolfières 2022 – Capsule 1;Événement · Festival · Montgolfière;1000 – 3000$;Dynamique · Informatif · Énergétique · Passion;Entrevue · B-roll · Drone;Capsule
Championnat Canadien de Montgolfières 2022 – Capsule 6;Animation · Événement · Festival · Montgolfière;5000 – 10 000$;Dynamique · Informatif · Énergétique · Grandiose;Entrevue · B-roll · Drone · Stabilisateur · Épaule;Capsule
CISSS Lanaudière – Accueil;Communautaire · Santé · Aînés · Employés;1000 – 3000$;Informatif · Passion · Enjoué · Rassurant;Entrevue · B-roll · Épaule · Drone;Capsule
CISSS Lanaudière – L’histoire de vie;Communautaire · Aînés · Employés · Bureau · Santé;1000 – 3000$;Informatif · Passion · Enjoué · Rassurant;Entrevue · B-roll · Épaule · Drone;Capsule
CISSS Lanaudière – L’intimité;Communautaire · Santé · Aînés · Employés;1000 – 3000$;Informatif · Passion · Rassurant · Enjoué;Entrevue · B-roll · Épaule · Drone;Capsule
CISSS Lanaudière – Les loisirs;Communautaire · Santé · Aînés · Employés;1000 – 3000$;Informatif · Passion · Enjoué · Rassurant;Entrevue · B-roll · Épaule · Drone;Capsule
CISSS Lanaudière – Les repas;Communautaire · Santé · Aînés · Employés;1000 – 3000$;Informatif · Passion · Enjoué · Rassurant;Entrevue · B-roll · Épaule · Drone;Capsule
CISSSMC – Aire ouverte;Communautaire · Santé · Employés;1000 – 3000$;Informatif · Passion · Rassurant;Entrevue · B-roll · Épaule;Capsule
CISSSMC – Bienveillance;Animation 2D et 3D · Bureau · Santé · Hôpital · Employés;5000 – 10 000$;Dynamique · Informatif;Motion Design;Motion design
CISSSMC – Clinique IPS;Communautaire · Santé · Hôpital · Employés;1000 – 3000$;Informatif · Passion · Rassurant;Entrevue · B-roll · Épaule;Capsule
CISSSMC – Comment ça va – Capsule 1;Animation 2D et 3D · Santé · Message visuel;3000 – 5000$;Informatif;Motion Design · Voix-off · Icône;Capsule
CISSSMC – Forces – Capsule 1;Santé · Maladie et handicap · Hôpital;5000 – 10 000$;Sérieux · Informatif · Triste;Entrevue · B-roll · Stock Footage · Épaule;Capsule
CISSSMC – Forces – Capsule 2;Santé · Hôpital;5000 – 10 000$;Sérieux · Informatif;Entrevue · B-roll · Épaule · Vidéo portrait · Motion Design;Capsule
CISSSMC – Forces – Capsule 3;Santé · Hôpital;5000 – 10 000$;Sérieux · Informatif;Entrevue · B-roll · Stock Footage · Motion Design;Capsule
CISSSMC – Forces – Capsule 4;Santé · Hôpital;5000 – 10 000$;Sérieux · Informatif;Entrevue · B-roll · Stock Footage · Motion Design;Capsule
CISSSMC – Forces – Capsule 5;Santé · Hôpital;5000 – 10 000$;Sérieux · Informatif;Entrevue · B-roll · Stock Footage · Motion Design;Capsule
CISSSMC – GAP décentralisé;Communautaire · Bureau · Santé · Hôpital;1000 – 3000$;Informatif · Rassurant;Entrevue · B-roll · Épaule;Capsule
CISSSMC – GAP;Communautaire · Santé · Aînés;1000 – 3000$;Informatif · Rassurant;Entrevue · Trépied;Capsule
CISSSMC – Info Social;Communautaire · Santé;1000 – 3000$;Sérieux · Informatif · Émotion;Entrevue · B-roll · Épaule;Capsule
CISSSMC – La civilité;Bureau · Santé · Hôpital · Employés;5000 – 10 000$;Informatif · Sérieux · Rassurant;Motion Design · Voix-off · Icône;Motion design
CISSSMC – Pharmacie;Communautaire · Commerce · Santé · Aînés · Science;1000 – 3000$;Informatif · Rassurant;Entrevue · B-roll · Épaule;Capsule
CISSSMO – Approche Positive;Communautaire · Bureau · Santé · Employés;1000 – 3000$;Dynamique · Informatif · Passion · Rassurant;Entrevue · B-roll · Épaule · Vidéo portrait;Capsule
CISSSMO – Capsule étudiants;Santé · École;1000 – 3000$;Sérieux · Informatif;Entrevue;Capsule
CISSSMO – Capsule Kaboum Déficience;Communautaire · Santé;3000 – 5000$;Dynamique · Enjoué · Émotion · Rassurant;Entrevue · B-roll · Épaule · Ralenti;Capsule
CISSSMO – CHSLD Ormstown;Communautaire · Santé · Présentation · Aînés · Employés;3000 – 5000$;Sérieux · Informatif;B-roll · Drone · Épaule · Vidéo portrait · Voix-off;Corpo
CISSSMO – Cineplex;Message visuel · Hôpital · Événement · Santé;1000 – 3000$;Émotion · Informatif;B-roll · Stock Footage · Vidéo portrait · Motion Design · Icône;Corpo
CISSSMO – Comité des usagers – Capsule 1;Communautaire · Santé · Conversation;1000 – 3000$;Sérieux · Informatif · Émotion · Rassurant;Entrevue · B-roll · Trépied · Vidéo portrait · Stock Footage;Corpo
CISSSMO – Divulgation;Santé;3000 – 5000$;Sérieux · Informatif · Émotion;Entrevue · B-roll · Stock Footage · Motion Design;Capsule
CISSSMO – DQEPE;Santé;3000 – 5000$;Sérieux · Informatif · Émotion;Entrevue · B-roll · Stock Footage · Motion Design;Capsule
CISSSMO – DQEPE.mp4 (Communautaire);Communautaire · Santé · Maladie et handicap · Employés;1000 – 3000$;Informatif · Sérieux · Émotion · Rassurant;Entrevue · B-roll · Épaule;Capsule
CISSSMO – École de l’Odyssée;Enfant · École · Santé;1000 – 3000$;Informatif;Entrevue · B-roll · Vidéo portrait · Motion Design;Capsule
CISSSMO – EN MODE ADO – À la maison;Conversation · Ado;1000 – 3000$;Dynamique · Informatif · Énergétique;Entrevue · Motion Design · Podcast;Capsule
CISSSMO – EN MODE ADO – Comment aider son ado;Conversation · Ado;1000 – 3000$;Dynamique · Informatif · Énergétique;Entrevue · Motion Design · Podcast;Capsule
CISSSMO – EN MODE ADO – Rôle du parent;Conversation · Ado;1000 – 3000$;Dynamique · Informatif · Énergétique;Entrevue · Podcast · Motion Design;Capsule
CISSSMO – EN MODE ADO – Sujet sensible;Conversation · Ado;1000 – 3000$;Dynamique · Informatif · Énergétique;Entrevue · Podcast · Motion Design;Capsule
CISSSMO – Geneviève Faubert – Infirmière monitrice;Santé · Hôpital;3000 – 5000$;Informatif · Dynamique · Enjoué;Entrevue · B-roll · Stock Footage;Capsule
CISSSMO – Maison des aînés;Santé · Hôpital · Événement;3000 – 5000$;Informatif;Entrevue · B-roll · Motion Design · Stabilisateur;Capsule
CISSSMO – Médecine de rue – Partie 1;Hôpital · Santé · Communautaire;1000 – 3000$;Sérieux · Informatif;Entrevue · B-roll · Stock Footage · Motion Design;Capsule
CISSSMO – Médecine de rue – Partie 2;Hôpital · Santé · Communautaire;1000 – 3000$;Sérieux · Informatif;Entrevue · B-roll · Stock Footage · Motion Design;Capsule
CISSSMO – Patient partenaire – Naissance de l’idée;Santé · Hôpital;3000 – 5000$;Sérieux · Informatif;Entrevue · B-roll · Ralenti · Motion Design;Capsule
CISSSMO – Patient partenaire – Retombées positives;Santé · Hôpital;3000 – 5000$;Sérieux · Informatif;Entrevue · B-roll · Ralenti · Motion Design;Capsule
CISSSMO – Patient partenaire – Retombées positives;Communautaire · Santé · Hôpital · Aînés;1000 – 3000$;Informatif · Rassurant;Entrevue · B-roll · Épaule;Capsule
CISSSMO – Patient partenaire;Santé · Hôpital;3000 – 5000$;Sérieux · Informatif;Entrevue · B-roll · Ralenti;Capsule
CISSSMO – PHVS – Avancement des travaux;Construction · Hôpital;3000 – 5000$;Informatif;Entrevue · B-roll · Drone · Motion Design;Capsule
CISSSMO – PHVS – Père Noël;Noël · Animation 2D et 3D;3000 – 5000$;Festif;Motion Design;GIF
CISSSMO – Plan d’été – BTS;Nature · Sports;0 – 1000$;Humour · Dynamique · Énergétique;Téléphone · B-roll;BTS
CISSSMO – Plan pour l’été – Baignade;Acteur · Enfant · Message visuel · Santé;1000 – 3000$;Humour · Dynamique · Informatif;Épaule · Motion Design · Verticale;Capsule
CISSSMO – Plan pour l’été – Crème solaire;Acteur · Message visuel · Santé;1000 – 3000$;Humour · Dynamique · Informatif;Épaule · Motion Design · Verticale;Capsule
CISSSMO – Plan pour l’été – Naviguer;Santé · Nature · Sports · Acteur;1000 – 3000$;Humour · Dynamique · Informatif;Verticale · Motion Design · Épaule;Capsule
CISSSMO – Plan pour l’été – Pédaler;Santé · Sports · Acteur;1000 – 3000$;Humour · Dynamique · Informatif;Verticale · Motion Design · Épaule;Capsule
CISSSMO – Plan pour l’été – Randonner;Acteur · Santé · Nature;1000 – 3000$;Humour · Informatif · Dynamique;Épaule · Verticale;Capsule
CISSSMO – Plan pour l’été – Travailler;Acteur · Santé;1000 – 3000$;Humour · Informatif · Dynamique;Épaule · Verticale;Capsule
CISSSMO – Podcast;Conversation;1000 – 3000$;Informatif · Humour · Dynamique;Podcast · Motion Design · Trépied;Podcast
CISSSMO – Prix inspiration;Conférencier · Événement;1000 – 3000$;Festif · Enjoué · Dynamique;Épaule · Stabilisateur · Ralenti;Événement
CISSSMO – Projet vigilance;Communautaire · Enfant · Jouets · Santé · Enfance;1000 – 3000$;Informatif · Passion · Enjoué · Rassurant;Entrevue · B-roll · Épaule;Corpo
CISSSMO – Réadaptation après un AVC;Communautaire · Santé · Nature · Aînés · Employés · Animaux;3000 – 5000$;Sérieux · Informatif · Émotion · Rassurant;Entrevue · B-roll · Épaule · Photo;Capsule
CISSSMO – Recrutement international – Teaser;Communautaire · Bureau · Santé · Hôpital · Employés;3000 – 5000$;Sérieux · Dynamique · Passion · Épique;Épaule · Trépied · Vidéo portrait · VFX;Publicité
CISSSMO – Réseaux intégrés;Bureau · Santé · Hôpital · Employés;1000 – 3000$;Dynamique · Passion · Rassurant;B-roll · Épaule · Vidéo portrait;Corpo
CISSSMO – Ressources intermédiaires;Communautaire · Santé;1000 – 3000$;Informatif;Entrevue · B-roll · Vidéo portrait · Motion Design;Capsule
CISSSMO – RTF – Simon et David;Santé · Communautaire;1000 – 3000$;Informatif · Passion · Émotion;Entrevue · B-roll · Ralenti · Motion Design;Capsule
CISSSMO – RTF – Sylvain Lemieux;Communautaire · Santé;1000 – 3000$;Informatif · Passion · Émotion;Entrevue · B-roll · Ralenti · Motion Design;Capsule
CISSSMO – SAGS;Communautaire · Santé · Hôpital · Aînés · Employés;1000 – 3000$;Dynamique · Rassurant;B-roll · Épaule;Capsule
CISSSMO – Soins post-aigus;Bureau · Santé · Hôpital · Employés;1000 – 3000$;Dynamique · Passion · Rassurant;B-roll · Épaule · Photo Flash · Vidéo portrait;Corpo
CISSSMO – Soutien à domicile;Communautaire · Bureau · Santé · Aînés · Employés;1000 – 3000$;Dynamique · Passion · Enjoué · Rassurant;B-roll · Épaule · Vidéo portrait;Corpo
SAQ - Centre automatisé de Montréal;Construction · Commerce · Bureau · Produit · Technologie · Entrepôt · Employés · Animation 2D et 3D;20 000 – 50 000$;Dynamique · Informatif;Stabilisateur · Animation 3D;Animation 3D
Clôtures directes – Présentation;Construction · Commerce · Produit · Technologie;5000 – 10 000$;Dynamique · Énergétique · Passion · Majestueux · Grandiose;Stabilisateur · Épaule · Drone · Ralenti · Voix-off;Corpo
Club Joie de Vivre – Appel aux dons;Communautaire · Santé;3000 – 5000$;Informatif · Émotion · Passion;Entrevue · B-roll · Ralenti · Motion Design;Capsule
Club Joie de vivre – Donation.mov;Communautaire · Bureau · Santé · Employés;1000 – 3000$;Informatif · Passion · Enjoué · Rassurant;Entrevue · B-roll · Épaule · Vidéo portrait;Corpo
Comité des usagers – 12droits;Communautaire · Animation 2D et 3D · Santé · Message visuel · Hôpital;3000 – 5000$;Informatif · Rassurant;Motion Design · Icône;Motion design
Comité des usagers – Capsule;Communautaire;3000 – 5000$;Informatif · Émotion · Sérieux;Entrevue · B-roll · Ralenti · Motion Design;Capsule
Côteau du Lac – Marché de Noël;Communautaire · Nourriture · Noël · Enfant · Jouets · Produit · Hiver · Art · Danse;1000 – 3000$;Dynamique · Énergétique · Festif · Majestueux;B-roll · Stabilisateur · Drone;Événement
Les Côteaux - Crossfit ;Commerce · Gym · Sports;1000 – 3000$;Dynamique · Énergétique · Passion;B-roll · Épaule · Ralenti;Publicité
CSMOCGQ – État du support;Animation 2D et 3D · Message visuel · Technologie;1000 – 3000$;Informatif;Stock Footage · Voix-off · Motion Design · B-roll;Capsule
CSMOCGQ – Guide arrière haut-bas;Animation 2D et 3D · Technologie;3000 – 5000$;Informatif;B-roll · Motion Design · Voix-off;Capsule
CSMOCGQ – La solution de mouillage;Animation 2D et 3D · Technologie · Message visuel;3000 – 5000$;Informatif;B-roll · Stock Footage · Voix-off · Motion Design;Capsule
CSMOCGQ – Le densitomètre;Animation 2D et 3D · Produit · Technologie;3000 – 5000$;Informatif;B-roll · Ralenti · Motion Design · Voix-off;Capsule
CSMOCGQ – Le groupe impression;Animation 2D et 3D · Produit · Technologie;3000 – 5000$;Informatif;B-roll · Motion Design · Ralenti;Capsule
CSMOCGQ – Le rôle du marqueur V3-1;Animation 2D et 3D · Produit · Technologie;3000 – 5000$;Informatif;B-roll · Motion Design · Voix-off;Capsule
CSMOCGQ – Le système encreur;Animation 2D et 3D · Produit · Technologie;3000 – 5000$;Informatif;B-roll · Motion Design · Voix-off;Capsule
CSMOCGQ – Le système mouilleur;Animation 2D et 3D · Produit · Technologie;3000 – 5000$;Informatif;B-roll · Motion Design · Voix-off;Capsule
CSMOCGQ – Pub Créateur d’impact;Acteur · Art · École · Sports;10 000 – 20 000$;Humour · Passion · Émotion;Épaule · Stabilisateur · Ralenti · Motion Design;Publicité
CSMOCGQ – Table de registre;Animation 2D et 3D · Produit · Technologie;3000 – 5000$;Informatif;B-roll · Motion Design · Voix-off;Capsule
CSSP – Capsule – Prévention;Enfant · École · Enfance · Animateur;3000 – 5000$;Dynamique · Informatif;B-roll · Épaule · Stabilisateur · Trépied · Motion Design;Capsule
CSSP – L’espace pour grandir;Enfant · École;5000 – 10 000$;Dynamique · Informatif;Voix-off · B-roll · Épaule · Stabilisateur · Drone · Stock Footage;Publicité
CSSP – PSO;Communautaire · Enfant · École;10 000 – 20 000$;Dynamique · Informatif;Entrevue · B-roll · Épaule · Stabilisateur · Motion Design · Voix-off;Capsule
CSSP – RESPECT – Capsule 1;Acteur · École;3000 – 5000$;Humour · Dynamique;Épaule · Stabilisateur · Voix-off;Publicité
CSSP – RESPECT – Capsule 2;Acteur · Enfant · École;3000 – 5000$;Humour · Dynamique;Épaule · Stabilisateur · Voix-off;Publicité
CSSP – RESPECT – Capsule 3;Acteur · Enfant · École;3000 – 5000$;Humour · Dynamique · Informatif;Épaule · Stabilisateur · Voix-off;Publicité
CSSVT – PEVR 2023–2027;Enfant · École;3000 – 5000$;Dynamique · Informatif;Trépied · Stock Footage · Motion Design;Capsule
Défi vélo – Parkinson Québec;Communautaire · Santé · Nature · Sports · Événement;3000 – 5000$;Dynamique · Énergétique · Passion · Émotion;Entrevue · Épaule · Stabilisateur · Drone;Événement
Département des moments – La tablée des moments;Nourriture · Nature · Événement;3000 – 5000$;Émotion;B-roll · Épaule · Stabilisateur · Drone · Voix-off;Événement
Desjardins Beauharnois – Bilan 2023;Communautaire;1000 – 3000$;Informatif · Dynamique;Photos · Motion Design;Slideshow
Desjardins LaSalle – AGA 2025;Événement · Animateur · Présentation · Employés;3000 – 5000$;Sérieux · Informatif;Trépied;Événement
Desjardins LaSalle – Candidats –;Présentation;3000 – 5000$;Informatif · Dynamique;Trépied · Motion Design;Capsule
Desjardins LaSalle – Candidats 2025;Présentation;1000 – 3000$;Sérieux;Entrevue · Trépied;Corpo
Desjardins Richelieu – Montgolfières;Événement · Montgolfière · Festival · Conférencier;3000 – 5000$;Dynamique · Énergétique · Festif;B-roll · Épaule · Stabilisateur · Drone · Motion Design;Capsule
Destination Valleyfield.mov;Acteur · Nature · Sports · Communautaire;3000 – 5000$;Dynamique · Énergétique;Stabilisateur · Drone;Publicité
Distillerie 3 lacs – Animation DJ;Voiture · Animation 2D et 3D · Art;1000 – 3000$;Énergétique · Dynamique;Motion Design · Animation 3D;Animation 3D
Distillerie 3 lacs – Cocktail;Produit · Bar;1000 – 3000$;Dynamique · Informatif;Stabilisateur · Trépied;Capsule
DS-XPERT – Présentation;Construction · Technologie;5000 – 10 000$;Sérieux · Informatif;Entrevue · B-roll · Drone · Stabilisateur · Trépied;Corpo
EBSU – Woodlore et Eurorite – Présentation;Construction · Technologie · Nature;5000 – 10 000$;Sérieux · Informatif · Dynamique;Entrevue · B-roll · Drone · Stock Footage;Corpo
Éco Solution – Pub TV;Acteur · Produit;5000 – 10 000$;Humour · Dynamique;Stabilisateur · Trépied · Stock Footage · Ralenti;Publicité
École secondaire Beauharnois – Bal des finissants 2023;Voiture · Ado · Événement · École;1000 – 3000$;Dynamique · Énergétique · Émotion;Épaule · Stabilisateur · Ralenti · Vidéo portrait;Événement
École secondaire Beauharnois – Bal des finissants 2024;Voiture · Ado · Événement · École;1000 – 3000$;Dynamique · Énergétique · Émotion;Épaule · Stabilisateur · Ralenti · Vidéo portrait;Événement
École secondaire Beauharnois – Voxpop Santé Mentale;Conversation · Ado · École;3000 – 5000$;Humour · Dynamique · Informatif;Entrevue · B-roll · Épaule;Capsule
EN MODE ADO – Comment aider son ado;Communautaire · Santé · Conversation · Ado;1000 – 3000$;Sérieux · Émotion · Informatif;Entrevue · Trépied · Podcast;Capsule
Équinoxe – Ferme cidricole;Produit · Bière et vin · Commerce · Nature · Animaux;3000 – 5000$;Dynamique · Informatif · Passion;Entrevue · B-roll;Corpo
Éric Bouchard – Présentation;Produit · Acteur · Présentation;3000 – 5000$;Informatif · Sérieux;Stabilisateur · Drone;Immobilier
Erivan – Geocom;Construction · Produit · Technologie;5000 – 10 000$;Sérieux · Dynamique · Informatif · Passion;Entrevue · B-roll · Stock Footage · Drone · Épaule · Ralenti;Corpo
FAC – Cordon bleu – Autour de la table;Nourriture · Technologie · Produit;5000 – 10 000$;Dynamique · Informatif;Entrevue · B-roll · Épaule · Trépied;Corpo
FAC – Fourmi;Nourriture · Produit · Technologie;5000 – 10 000$;Dynamique · Informatif · Passion;Entrevue · B-roll · Épaule · Stabilisateur;Corpo
Faith Horizon – Show me the truth;Bière et vin · Musique · Hiver;3000 – 5000$;Humour · Passion · Majestueux · Épique;Épaule · Stock Footage;Vidéoclip
Fête gourmande Lanaudière – Recap 2024;Communautaire · Nourriture · Bière et vin · Nature · Événement;3000 – 5000$;Dynamique · Énergétique · Passion;Drone · Stabilisateur · B-roll · Ralenti;Événement
FIC – Casino;Bière et vin · Événement · Conférencier · Présentation;3000 – 5000$;Dynamique;B-roll · Épaule · Stabilisateur · Drone · Stock Footage · Motion Design;Événement
FireFlex – VACTEC Animation 3D;Animation 2D et 3D · Produit;5000 – 10 000$;Informatif;Motion Design · Animation 3D;Animation 3D
